"","N","L","a","p","S","d","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","diam","cl","mu","te","si","apl"
"659",7,6,2.45514222391639,0.819861407986192,0.598269588585257,0.142857142857143,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2.66666666666667
"660",7,11,3.30831206542234,0.164079197726652,1.15374194270109,0.261904761904762,1,2,0,1,0,0,2,3,1,1,0,0,0,6,0.4,6,0.452846428777473,1.57142857142857,2.35714285714286
"661",8,7,2.21365230216912,0.819861407986192,0.562335144618808,0.125,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3
"662",6,6,Inf,1,0,0.2,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3
"663",41,49,1.65135414819969,0.806087147344503,0.893369909228339,0.0298780487804878,7,56,1,7,1,0,1,0,1,0,0,0,0,28,0.0769230769230769,2,0.115942381126067,3.2948120357363,10.9825
"664",14,17,2.39800360275913,0.765763173908239,0.796311640173813,0.0934065934065934,3,18,2,3,0,0,2,1,0,0,0,0,0,8,0,4,0.169376732689487,1.72232591745032,3.59558823529412
"665",4,4,4.24606384200017,0.765763173908239,1.03972077083992,0.333333333333333,1,1,0,0,0,0,0,0,1,0,0,0,0,3,0.6,0,0.229573958513622,0,1.66666666666667
"666",10,12,1.60682615108456,0.819861407986192,0.325082973391448,0.133333333333333,1,9,2,1,0,0,2,0,1,0,0,0,0,8,0.166666666666667,2,0.122439444540599,1.03022562546875,3.8
"667",6,5,2.92359338785195,0.819861407986192,0.636514168294813,0.166666666666667,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2.33333333333333
"668",2,1,Inf,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1
"669",29,34,1.65217626733712,0.908122659170248,0.744129541411298,0.041871921182266,1,26,4,1,0,0,4,1,1,0,0,0,0,18,0.075,6,0.154335700571664,1.73237959457121,7.38593155893536
"670",3,4,2.92359338785195,0.819861407986192,0.636514168294813,0.666666666666667,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,4,0.333333333333333,0.536674999839743,1.33333333333333
"671",2,1,Inf,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1
"672",17,19,2.02401912995519,0.967976778974433,0.803742107316203,0.0698529411764706,2,20,1,2,0,0,1,0,0,0,0,0,0,11,0,2,0.121887003640613,1.26984126984127,4.5406976744186
"673",2,1,Inf,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1
"674",4,4,4.24606384200017,0.765763173908239,1.03972077083992,0.333333333333333,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0.229573958513622,0,1.57142857142857
"675",3,4,2.92359338785195,0.819861407986192,0.636514168294813,0.666666666666667,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,4,0.333333333333333,0.444444444444444,1.33333333333333
"676",2,1,Inf,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1
"677",4,4,4.24606384200017,0.765763173908239,1.03972077083992,0.333333333333333,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0.229573958513622,0,1.57142857142857
"678",4,3,NA,1,0.693147180559945,0.25,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1.66666666666667
"679",9,8,2.06431413353057,0.819861407986192,0.529706199057654,0.111111111111111,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3.33333333333333
